Date,Open,High,Low,Close,Volume,Adj Close
2015-06-19,19.338,19.745,18.524,18.777,278090200,15.79644
2015-06-18,19.899,20.075,19.404,19.492,278296700,16.39794
2015-06-17,20.339,20.878,19.745,20.02,513118600,16.84213
2015-06-16,20.273,20.273,20.273,20.273,000,17.05497
2015-06-15,20.273,20.273,20.273,20.273,000,17.05497
2015-06-12,20.273,20.273,20.273,20.273,000,17.05497
2015-06-11,20.273,20.273,20.273,20.273,000,17.05497
2015-06-10,20.273,20.273,20.273,20.273,000,17.05497
2015-06-09,20.273,20.273,20.273,20.273,000,17.05497
2015-06-08,20.273,20.273,20.273,20.273,000,17.05497
2015-06-05,20.90,21.087,19.822,20.273,362420100,17.05497
2015-06-04,19.80,20.68,19.338,20.493,471864900,17.24005
2015-06-03,19.679,19.855,19.294,19.69,244139700,16.56451
2015-06-02,19.723,19.767,19.25,19.624,224935500,16.50899
2015-06-01,18.744,19.888,18.546,19.723,286379200,16.59227
2015-05-29,18.788,19.085,18.381,18.744,256087300,15.76868
2015-05-28,19.91,19.954,18.711,18.744,334032200,15.76868
2015-05-27,20.284,20.515,19.855,19.877,296942300,16.72183
2015-05-26,20.042,20.295,19.701,20.229,301665300,17.01795
2015-05-25,19.635,19.998,19.624,19.954,273874700,16.7866
2015-05-22,19.206,19.569,19.074,19.536,248087500,16.43496
2015-05-21,18.975,19.14,18.81,19.052,166403400,16.02778
2015-05-20,18.744,19.239,18.667,18.865,265675700,15.87047
2015-05-19,18.007,18.799,17.985,18.744,242251200,15.76868
2015-05-18,18.282,18.436,17.974,18.018,187555200,15.15792
2015-05-15,18.601,18.777,18.249,18.458,209597200,15.52807
2015-05-14,18.81,18.975,18.634,18.689,192361900,15.7224
2015-05-13,19.063,19.129,18.59,18.777,245244500,15.79644
2015-05-12,18.975,19.14,18.744,18.964,219176300,15.95375
2015-05-11,18.678,19.041,18.469,18.997,277153400,15.98151
2015-05-08,18.909,19.03,18.502,18.821,184560000,15.83345
2015-05-07,18.733,19.008,18.678,18.777,214390700,15.79644
2015-05-06,18.788,19.261,18.667,18.766,303607800,15.78718
2015-05-05,19.503,19.525,18.535,18.788,375386400,15.80569
2015-05-04,19.80,19.80,19.36,19.591,258064500,16.48123
2015-05-01,19.877,19.877,19.877,19.877,000,16.72183
2015-04-30,20.108,20.306,19.855,19.877,412760500,16.72183
2015-04-29,20.097,20.526,19.866,20.383,358393700,17.14751
2015-04-28,20.064,20.90,19.80,20.13,600054000,16.93467
2015-04-27,19.492,20.075,19.492,19.987,384541400,16.81437
2015-04-24,19.58,19.833,19.206,19.448,422927100,16.36093
2015-04-23,20.35,20.504,19.921,20.042,363593600,16.86064
2015-04-22,20.13,20.405,19.888,20.35,420766700,17.11975
2015-04-21,19.525,20.009,19.525,19.976,368194600,16.80511
2015-04-20,20.592,20.592,19.36,19.69,572435800,16.56451
2015-04-17,20.845,20.955,20.317,20.46,490159300,17.21229
2015-04-16,19.767,20.537,19.635,20.515,415984500,17.25855
2015-04-15,19.58,20.295,19.481,19.756,449643900,16.62003
2015-04-14,19.833,19.844,19.316,19.679,372837000,16.55526
2015-04-13,19.789,20.328,19.382,19.833,581406600,16.68481
2015-04-10,18.546,19.327,18.436,19.283,451543400,16.22212
2015-04-09,18.755,19.228,18.48,18.557,497335400,15.61136
2015-04-08,18.403,18.744,18.095,18.722,514816400,15.75017
2015-04-07,18.15,18.557,18.095,18.381,502260200,15.46329
2015-04-06,17.82,17.82,17.82,17.82,000,14.99135
2015-04-03,17.60,17.919,17.523,17.82,320361500,14.99135
2015-04-02,17.93,18.018,17.457,17.798,410087600,14.97284
2015-04-01,17.369,17.754,17.325,17.545,305878300,14.76
2015-03-31,18.128,18.238,17.314,17.369,494049200,14.61193
2015-03-30,17.105,17.82,16.984,17.622,487442600,14.82478
2015-03-27,16.852,17.105,16.687,16.896,218174900,14.21402
2015-03-26,16.665,17.138,16.544,16.896,282340700,14.21402
2015-03-25,17.16,17.292,16.665,16.764,331730300,14.10297
2015-03-24,17.479,17.60,17.16,17.259,324657500,14.5194
2015-03-23,17.402,17.644,17.347,17.501,357592700,14.72298
2015-03-20,17.182,17.699,16.907,17.325,456531200,14.57492
