Date,Open,High,Low,Close,Volume,Adj Close
2015-05-07,18.864,19.056,18.60,18.804,125870700,15.44035
2015-05-06,18.984,19.56,18.588,18.864,194991100,15.48962
2015-05-05,19.692,19.824,18.60,19.032,229934100,15.62757
2015-05-04,20.04,20.04,19.536,19.824,142757500,16.2779
2015-05-01,20.04,20.04,20.04,20.04,000,16.45526
2015-04-30,20.196,20.712,20.016,20.04,289063500,16.45526
2015-04-29,19.992,20.10,19.44,19.98,215118800,16.40599
2015-04-28,19.74,20.856,19.464,20.04,476354400,16.45526
2015-04-27,19.452,19.92,19.44,19.704,246056300,16.17936
2015-04-24,19.56,19.812,19.212,19.368,244283700,15.90347
2015-04-23,20.376,20.448,19.872,19.992,231968800,16.41585
2015-04-22,19.896,20.376,19.80,20.34,277314100,16.7016
2015-04-21,19.584,20.04,19.176,19.872,241593700,16.31731
2015-04-20,20.52,20.64,19.392,19.56,344725700,16.06112
2015-04-17,21.00,21.00,20.16,20.316,260952300,16.68189
2015-04-16,19.608,20.52,19.50,20.40,246740700,16.75086
2015-04-15,19.56,20.736,19.32,19.98,341764200,16.40599
2015-04-14,19.80,19.80,19.32,19.56,247237500,16.06112
2015-04-13,20.40,20.592,19.38,19.848,480715300,16.2976
2015-04-10,18.00,19.80,17.85,19.80,400825100,13.40562
2015-04-09,17.94996,19.05,17.73,18.00,380767600,12.18692
2015-04-08,20.31595,21.69605,19.98,21.50395,404597500,14.55928
2015-04-07,19.37995,20.35195,19.37995,20.17195,355256600,13.65745
2015-04-06,19.01995,19.01995,19.01995,19.01995,000,12.87748
2015-04-03,18.83995,19.12795,18.73195,19.01995,172192900,12.87748
2015-04-02,19.30795,19.368,18.74405,18.96005,168700400,12.83693
2015-04-01,18.98395,19.368,18.65995,19.152,197197900,12.96689
2015-03-31,19.24805,19.91995,18.756,18.90,327981900,12.79627
2015-03-30,18.27605,19.12795,18.11995,18.792,309913600,12.72315
2015-03-27,18.11995,18.34805,17.83195,18.09605,125716600,12.25195
2015-03-26,17.83195,18.504,17.65195,18.13205,178546900,12.27633
2015-03-25,18.33595,18.38405,17.86795,17.892,190976100,12.1138
2015-03-24,18.51595,18.70805,18.26395,18.42005,187103200,12.47132
2015-03-23,18.396,18.67205,18.396,18.51595,213846700,12.53625
2015-03-20,18.22795,18.65995,18.072,18.38405,237167300,12.44694
2015-03-19,18.576,18.576,18.144,18.22795,189636000,12.34126
2015-03-18,18.432,18.69595,18.34805,18.612,219720000,12.60128
2015-03-17,18.612,18.96005,18.29995,18.47995,235181000,12.51188
2015-03-16,18.11995,18.60005,17.90395,18.49205,266216700,12.52007
2015-03-13,17.88005,18.73195,17.75995,17.98805,379678600,12.17883
2015-03-12,17.03995,17.95205,16.89595,17.52005,396616400,11.86197
2015-03-11,16.54805,16.89595,16.54805,16.632,108402500,11.26072
2015-03-10,16.80005,16.94405,16.524,16.524,166284700,11.1876
2015-03-09,16.164,17.208,15.984,16.98005,264638800,11.49636
2015-03-06,16.04405,16.21195,16.02,16.128,66845700,10.91948
2015-03-05,16.20,16.236,15.948,16.056,99432500,10.87074
2015-03-04,16.344,16.46395,16.20,16.28395,97796700,11.02507
2015-03-03,16.776,16.776,16.308,16.31995,127137100,11.04945
2015-03-02,16.83605,16.90805,16.64395,16.83605,122255600,11.39887
2015-02-27,16.87205,16.992,16.75195,16.78795,95228400,11.36631
2015-02-26,16.56,16.89595,16.31995,16.884,123065300,11.43134
2015-02-25,16.848,16.85995,16.51205,16.56,69287000,11.21197
2015-02-24,16.78795,16.78795,16.78795,16.78795,000,11.36631
2015-02-23,16.78795,16.78795,16.78795,16.78795,000,11.36631
2015-02-20,16.78795,16.78795,16.78795,16.78795,000,11.36631
2015-02-19,16.78795,16.78795,16.78795,16.78795,000,11.36631
2015-02-18,16.78795,16.78795,16.78795,16.78795,000,11.36631
2015-02-17,16.75195,16.93195,16.71595,16.78795,81658900,11.36631
2015-02-16,16.74,16.812,16.47605,16.704,86544200,11.30947
